bucket,lo_us,hi_us,count
0,1,2,0
1,2,4,0
2,4,8,0
3,8,16,0
4,16,32,0
5,32,64,0
6,64,128,0
7,128,256,0
8,256,512,0
9,512,1024,1296
10,1024,2048,10488
11,2048,4096,9394
12,4096,8192,11026
13,8192,16384,6666
14,16384,32768,606
15,32768,65536,89
16,65536,131072,36
17,131072,262144,11
18,262144,524288,3
19,524288,1048576,2
20,1048576,2097152,0
21,2097152,4194304,0
22,4194304,8388608,0
23,8388608,16777216,0
24,16777216,33554432,0
25,33554432,67108864,0
26,67108864,134217728,0
27,134217728,268435456,0
28,268435456,536870912,0
29,536870912,1073741824,0
30,1073741824,2147483648,0
31,2147483648,4294967296,0
32,4294967296,8589934592,0
33,8589934592,17179869184,0
34,17179869184,34359738368,0
35,34359738368,68719476736,0
36,68719476736,137438953472,0
37,137438953472,274877906944,0
38,274877906944,549755813888,0
39,549755813888,1099511627776,0
40,1099511627776,2199023255552,0
41,2199023255552,4398046511104,0
42,4398046511104,8796093022208,0
43,8796093022208,17592186044416,0
44,17592186044416,35184372088832,0
45,35184372088832,70368744177664,0
46,70368744177664,140737488355328,0
47,140737488355328,281474976710656,0
48,281474976710656,562949953421312,0
49,562949953421312,1125899906842624,0
50,1125899906842624,2251799813685248,0
51,2251799813685248,4503599627370496,0
52,4503599627370496,9007199254740992,0
53,9007199254740992,18014398509481984,0
54,18014398509481984,36028797018963968,0
55,36028797018963968,72057594037927936,0
56,72057594037927936,144115188075855872,0
57,144115188075855872,288230376151711744,0
58,288230376151711744,576460752303423488,0
59,576460752303423488,1152921504606846976,0
60,1152921504606846976,2305843009213693952,0
61,2305843009213693952,4611686018427387904,0
62,4611686018427387904,9223372036854775808,0
63,9223372036854775808,0,0
